Frequency (MHz),CISPR11_CE_CLASS_B_Group_1_AVG,CISPR11_CE_CLASS_A_Group_1_AVG
2.957717817,64,97.49725162
2.962217365,64,97.4929165
2.966716913,64,97.48858796
2.971216461,64,97.48426598
2.975716008,64,97.47995055
2.980215556,64,97.47564163
2.984715104,64,97.47133921
2.989214652,64,97.46704327
2.9937142,64,97.4627538
2.998213747,64,97.45847077
3.002713295,64,97.45419416
3.007212843,64,97.44992395
3.011712391,64,97.44566013
3.016211938,64,97.44140268
3.020711486,64,97.43715157
3.025211034,64,97.43290678
3.029710582,64,97.42866831
3.03421013,64,97.42443613
3.038709677,64,97.42021022
3.043209225,64,97.41599056
3.047708773,64,97.41177713
3.052208321,64,97.40756993
3.056707869,64,97.40336892
3.061207416,64,97.39917409
3.065706964,64,97.39498542
3.070206512,64,97.39080289
3.07470606,64,97.38662649
3.079205607,64,97.38245619
3.083705155,64,97.37829199
3.088204703,64,97.37413386
3.092704251,64,97.36998178
3.097203799,64,97.36583574
3.101703346,64,97.36169571
3.106202894,64,97.35756169
3.110702442,64,97.35343365
3.11520199,64,97.34931158
3.119701538,64,97.34519546
3.124201085,64,97.34108527
3.128700633,64,97.336981
3.133200181,64,97.33288262
3.137699729,64,97.32879013
3.142199276,64,97.3247035
3.146698824,64,97.32062272
3.151198372,64,97.31654777
3.15569792,64,97.31247863
3.160197468,64,97.30841529
3.164697015,64,97.30435773
3.169196563,64,97.30030594
3.173696111,64,97.2962599
3.178195659,64,97.29221959
3.182695207,64,97.28818499
3.187194754,64,97.2841561
3.191694302,64,97.28013288
3.19619385,64,97.27611534
3.200693398,64,97.27210345
3.205192945,64,97.26809719
3.209692493,64,97.26409656
3.214192041,64,97.26010153
3.218691589,64,97.25611208
3.223191137,64,97.25212821
3.227690684,64,97.2481499
3.232190232,64,97.24417713
3.23668978,64,97.24020989
3.241189328,64,97.23624816
3.245688875,64,97.23229192
3.250188423,64,97.22834117
3.254687971,64,97.22439588
3.259187519,64,97.22045604
3.263687067,64,97.21652163
3.268186614,64,97.21259265
3.272686162,64,97.20866907
3.27718571,64,97.20475089
3.281685258,64,97.20083808
3.286184806,64,97.19693063
3.290684353,64,97.19302852
3.295183901,64,97.18913175
3.299683449,64,97.1852403
3.304182997,64,97.18135415
3.308682544,64,97.17747329
3.313182092,64,97.1735977
3.31768164,64,97.16972737
3.322181188,64,97.16586229
3.326680736,64,97.16200244
3.331180283,64,97.1581478
3.335679831,64,97.15429837
3.340179379,64,97.15045413
3.344678927,64,97.14661506
3.349178475,64,97.14278115
3.353678022,64,97.1389524
3.35817757,64,97.13512877
3.362677118,64,97.13131027
3.367176666,64,97.12749687
3.371676213,64,97.12368856
